,estimate,lower,upper,exp_estimate,exp_lower,exp_upper,rownames
female1,-0.632,-0.985,-0.278,0.532,0.373,0.757,female1
married1,0.139,0.0146,0.263,1.15,1.01,1.3,married1
kids1,-0.187,-0.326,-0.0486,0.829,0.722,0.953,kids1
kids2,-0.325,-0.503,-0.147,0.723,0.605,0.864,kids2
kids3,-0.828,-1.38,-0.275,0.437,0.252,0.759,kids3
mentor,0.0254,0.0215,0.0294,1.03,1.02,1.03,mentor
prestige,-0.0362,-0.102,0.0294,0.964,0.903,1.03,prestige
female1:prestige,0.127,0.0221,0.231,1.13,1.02,1.26,female1:prestige
